,district,school,primary_job,fte,salary,certificate,subcategory,teaching_route,highly_qualified,experience_district,experience_nj,experience_total
28827,93,787,0,1.0,78250,5,2,1,5,14.0,14.0,14.0
28829,93,1729,0,1.0,65250,5,2,1,5,10.0,10.0,10.0
28830,93,1729,0,1.0,55750,5,2,1,5,2.0,2.0,2.0
28831,93,1908,0,1.0,83700,5,2,1,5,28.0,28.0,28.0
28832,93,1908,0,1.0,67750,5,2,1,5,2.0,12.0,12.0
28842,93,1957,0,1.0,83700,5,2,1,1,28.0,28.0,28.0
28843,93,1908,0,1.0,85950,5,2,1,1,35.0,35.0,35.0
28862,174,586,0,1.0,63483,5,2,1,5,5.0,5.0,5.0
28865,174,586,0,1.0,64083,5,2,1,5,8.0,8.0,8.0
28870,174,586,0,1.0,56733,5,2,1,5,1.0,2.0,2.0
28874,174,586,0,1.0,63483,5,2,1,5,5.0,5.0,5.0
28920,93,1957,0,1.0,53250,5,2,1,5,2.0,3.0,3.0
28922,93,1957,0,1.0,67750,5,2,1,5,9.0,11.0,11.0
28929,93,1957,0,1.0,63000,5,2,1,5,10.0,10.0,10.0
28933,93,1908,0,1.0,53250,5,2,1,5,5.0,5.0,5.0
28934,93,1908,0,1.0,52300,5,2,1,5,5.0,5.0,5.0
28935,93,1908,0,1.0,51500,5,2,1,5,5.0,5.0,5.0
28936,93,1908,0,1.0,58250,5,2,1,5,4.0,6.0,6.0
28941,93,1908,0,1.0,52300,5,2,1,5,6.0,6.0,6.0
28942,93,1908,0,1.0,62250,5,2,1,5,10.0,10.0,10.0
28943,93,1908,0,1.0,68250,5,2,1,5,11.0,11.0,11.0
28945,93,1908,0,1.0,50500,5,2,1,5,3.0,3.0,3.0
28948,93,1729,0,1.0,51000,5,2,1,5,2.0,2.0,2.0
28949,93,1729,0,1.0,50000,1,2,1,5,4.0,4.0,4.0
28950,93,1729,0,1.0,58250,5,2,1,5,1.0,1.0,9.0
28951,93,1729,0,1.0,79500,5,2,1,5,15.0,15.0,15.0
28952,93,1729,0,1.0,83950,5,2,1,5,18.0,18.0,18.0
28955,93,1729,0,0.2,83950,5,2,1,5,14.0,17.0,17.0
28956,93,1729,0,1.0,61750,5,2,1,5,7.0,8.0,8.0
28960,93,1729,0,1.0,75750,5,2,1,5,12.0,12.0,12.0
28963,93,1729,0,1.0,52250,1,2,1,5,2.0,2.0,2.0
28964,93,1059,0,1.0,53750,5,2,1,5,3.0,3.0,3.0
28970,93,1059,0,1.0,81700,5,2,1,5,18.0,18.0,18.0
28971,93,1059,0,1.0,65250,5,2,1,5,10.0,10.0,10.0
28973,93,1059,0,1.0,50000,4,2,1,5,1.0,1.0,1.0
